	  ID		  PRINCIPAL_INVESTIGATOR	 ORGANIZATION		       EXPERIMENT	 1st_DATE  1st_LAT  1st_LON 	 END_DATE  END_LAT  END_LON	 TYPE	 FILENAME
103130016416	                      R.Molinari	      AOML	               AOML ACCE	2016-06-20  0.999  -25.512	2018-01-10  4.724  -24.819	PALACE	acm16416.nc
103130016417	                      R.Molinari	      AOML	               AOML ACCE	2016-06-22  2.019  -23.001	2018-01-13  4.820  -35.048	PALACE	acm16417.nc
 10313009332	                      R.Molinari	      AOML	               AOML ACCE	2014-01-06  0.497  -37.112	2014-10-08  -1.383  -45.038	PALACE	acm9332.nc
 10313009333	                      R.Molinari	      AOML	               AOML ACCE	2013-12-25  -0.048  -26.222	2017-09-08  9.406  -34.832	PALACE	acm9333.nc
 10313009334	                      R.Molinari	      AOML	               AOML ACCE	2013-12-26  0.009  -32.595	2016-06-04  5.152  -27.447	PALACE	acm9334.nc
 10313009335	                      R.Molinari	      AOML	               AOML ACCE	2014-01-01  0.267  -16.032	2018-01-04  5.355  -25.631	PALACE	acm9335.nc
 10313009336	                      R.Molinari	      AOML	               AOML ACCE	2013-12-31  -0.126  -11.863	2015-06-02  4.938  -9.498	PALACE	acm9336.nc
 10313009337	                      R.Molinari	      AOML	               AOML ACCE	2014-01-06  -5.996  -19.516	2017-08-29  -2.680  -39.959	PALACE	acm9337.nc
 10313009338	                      R.Molinari	      AOML	               AOML ACCE	2014-01-07  -6.032  -14.764	2018-01-09  -6.104  -25.250	PALACE	acm9338.nc
 10313009339	                      R.Molinari	      AOML	               AOML ACCE	2013-12-26  0.019  -34.122	2015-05-27  3.424  -50.751	PALACE	acm9339.nc
 10313009340	                      R.Molinari	      AOML	               AOML ACCE	2014-01-15  -6.056  -23.609	2017-03-26  -1.929  -43.284	PALACE	acm9340.nc
 10313009341	                      R.Molinari	      AOML	               AOML ACCE	2014-01-07  0.400  -40.156	2014-08-15  3.230  -50.848	PALACE	acm9341.nc
  1032100431	            Rossby, Prater, Carr	       URI	        Atlantic Current	2013-10-31  46.208  -34.929	2013-11-28  45.782  -37.471	RAFOS	acu431.nc
  1032100432	            Rossby, Prater, Carr	       URI	        Atlantic Current	2013-11-26  52.782  -34.742	2013-12-25  52.711  -33.284	RAFOS	acu432.nc
  1032100433	            Rossby, Prater, Carr	       URI	        Atlantic Current	2013-10-31  46.191  -34.938	2014-02-26  44.849  -33.548	RAFOS	acu433.nc
  1032100434	            Rossby, Prater, Carr	       URI	        Atlantic Current	2013-11-26  52.769  -34.745	2014-03-25  54.542  -30.487	RAFOS	acu434.nc
  1032100438	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  51.655  -37.099	2015-02-02  61.077  -29.748	RAFOS	acu438.nc
  1032100440	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  50.933  -37.152	2015-01-13  45.627  -39.836	RAFOS	acu440.nc
  1032100448	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-10  51.906  -37.145	2014-10-12  52.630  -19.858	RAFOS	acu448.nc
  1032100453	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  49.850  -37.138	2014-05-19  50.780  -33.193	RAFOS	acu453.nc
  1032100459	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  50.282  -37.105	2015-02-02  54.789  -34.134	RAFOS	acu459.nc
  1032100466	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-11  52.644  -37.254	2014-05-24  52.717  -37.853	RAFOS	acu466.nc
  1032100469	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-08  49.325  -37.061	2015-01-30  46.389  -30.465	RAFOS	acu469.nc
  1032100475	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  51.626  -37.016	2015-01-30  54.126  -42.761	RAFOS	acu475.nc
  1032100476	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-10  51.294  -36.819	2015-05-31  59.103  -20.049	RAFOS	acu476.nc
  1032100479	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  51.334  -36.990	2014-09-05  50.944  -30.720	RAFOS	acu479.nc
  1032100480	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-04-09  49.547  -37.039	2014-09-02  50.984  -30.984	RAFOS	acu480.nc
  1032100497	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.602  -37.040	2016-06-14  47.986  -26.764	RAFOS	acu497.nc
  1032100502	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.355  -37.061	2016-06-14  46.744  -33.942	RAFOS	acu502.nc
  1032100510	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.355  -37.065	2016-06-14  38.618  -25.070	RAFOS	acu510.nc
  1032100530	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-29  49.197  -37.133	2016-06-13  60.360  -19.333	RAFOS	acu530.nc
  1032100531	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.660  -36.951	2016-06-10  56.978  -31.372	RAFOS	acu531.nc
  1032100534	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-30  49.426  -36.813	2016-06-13  57.021  -23.726	RAFOS	acu534.nc
  1032100535	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  52.271  -37.133	2016-05-15  56.800  -40.116	RAFOS	acu535.nc
  1032100536	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.351  -37.085	2016-01-29  58.431  -20.591	RAFOS	acu536.nc
  1032100537	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  52.619  -37.033	2016-03-14  55.432  -10.269	RAFOS	acu537.nc
  1032100538	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.359  -37.158	2016-06-12  53.783  -38.097	RAFOS	acu538.nc
  1032100539	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-26  53.664  -37.096	2015-08-02  55.270  -40.628	RAFOS	acu539.nc
  1032100540	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  51.006  -36.509	2016-06-14  53.668  -39.187	RAFOS	acu540.nc
  1032100541	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.998  -37.167	2016-04-23  58.415  -12.840	RAFOS	acu541.nc
  1032100542	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.944  -36.765	2016-06-13  57.614  -21.969	RAFOS	acu542.nc
  1032100544	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.984  -36.647	2016-06-14  51.689  -16.778	RAFOS	acu544.nc
  1032100546	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.020  -37.125	2016-06-14  54.489  -29.796	RAFOS	acu546.nc
  1032100547	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.379  -37.151	2016-05-08  60.293  -34.603	RAFOS	acu547.nc
  1032100548	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.011  -37.195	2016-06-14  54.201  -21.838	RAFOS	acu548.nc
  1032100549	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.939  -36.620	2016-06-13  60.015  -21.120	RAFOS	acu549.nc
  1032100550	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.975  -37.363	2016-04-07  62.597  -30.033	RAFOS	acu550.nc
  1032100552	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.622  -36.911	2016-01-25  63.348  -18.463	RAFOS	acu552.nc
  1032100553	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  52.570  -37.192	2016-06-14  54.500  -37.922	RAFOS	acu553.nc
  1032100554	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.379  -37.069	2016-06-14  46.447  -32.018	RAFOS	acu554.nc
  1032100557	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.362  -37.057	2016-06-09  56.553  -37.137	RAFOS	acu557.nc
  1032100558	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.350  -37.139	2016-06-11  60.805  -18.121	RAFOS	acu558.nc
  1032100559	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.066  -37.126	2016-06-14  45.614  -22.762	RAFOS	acu559.nc
  1032100560	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.649  -37.000	2016-05-18  58.394  -39.388	RAFOS	acu560.nc
  1032100561	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.364  -37.144	2016-04-08  63.880  -30.385	RAFOS	acu561.nc
  1032100563	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  52.258  -37.108	2016-04-26  63.580  -27.689	RAFOS	acu563.nc
  1032100564	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  52.643  -37.212	2016-06-13  56.083  -31.516	RAFOS	acu564.nc
  1032100566	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.003  -37.095	2015-06-04  55.061  -40.242	RAFOS	acu566.nc
  1032100567	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-26  53.967  -37.223	2016-05-29  57.273  -55.336	RAFOS	acu567.nc
  1032100569	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  50.645  -36.933	2016-06-13  57.444  -25.236	RAFOS	acu569.nc
  1032100570	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.014  -37.107	2015-08-07  54.798  -39.990	RAFOS	acu570.nc
  1032100571	            Rossby, Prater, Carr	       URI	        Atlantic Current	2015-01-02  53.691  -37.078	2016-01-10  62.409  -28.588	RAFOS	acu571.nc
  1032100572	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  53.639  -37.191	2016-03-19  61.827  -40.785	RAFOS	acu572.nc
  1032100573	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  53.352  -37.050	2015-06-20  58.487  -36.908	RAFOS	acu573.nc
  1032100574	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  52.292  -37.121	2016-05-29  60.996  -31.408	RAFOS	acu574.nc
  1032100575	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-28  49.033  -37.151	2015-06-25  47.745  -31.957	RAFOS	acu575.nc
  1032100576	            Rossby, Prater, Carr	       URI	        Atlantic Current	2014-12-27  51.559  -37.126	2016-06-13  58.669  -26.011	RAFOS	acu576.nc
